industry,count
Academia,19
Adtech,1
Advertising,1
Agriculture Technology,1
Beverage Distribution,2
Business,3
Business Services,1
Civic Tech,1
Communications,2
Consulting,13
Consumer Goods,2
Design,1
Diversity & Inclusion,1
Ecommerce,1
EdTech,2
Education,7
Energy,3
Engineering,1
Entertainment,4
Entrepreneur,1
Environmental Sciences,2
Event Management,1
FinTech,1
Finance,41
Fintech,1
Government,8
HR Tech,1
HealthTEch,1
HealthTech,1
Healthcare,6
Healthcare Marketing,1
Higher Education,2
Hospitality,2
Insurance,1
Law,57
Life Sciences,1
Logistics,1
Manufacturing,1
Marketing,2
Media,9
Medical Publishing,1
Medicine,5
Military,1
Nonprofit,6
Nonprofit Media,1
Political Campaigns,1
Political Communications,2
Private Equity,1
Public Health,3
Public Policy,2
Public Relations,1
Publishing,1
Real Estate,6
Recruiting,1
Religion,1
Renewable Energy,1
Retail,3
Sports,9
Sports Marketing,1
Technology,21
Trade Association,1
Transportation,1
Urban Planning,2
Venture Capital,4
