parent_industry,count
Academia,19
Business,13
Civic & Urban,3
Communications,2
Consulting,13
Design,1
Diversity & Inclusion,1
Education,7
Energy,3
Engineering,1
Entertainment,4
Environment & Climate,4
Finance,46
Government,8
Health,6
Higher Ed,2
Hospitality & Events,5
Law,57
Life Sciences,1
Logistics,1
Manufacturing,1
Marketing & Advertising,6
Media & Publishing,11
Medicine,6
Military,1
Nonprofit,6
Politics & Policy,5
Public Health,3
Public Relations,1
Real Estate,6
Religion,1
Sports,9
Technology,28
Trade Association,1
Transportation,1
